CustID,Age,Province,Years,CreditLimit,Payment,Min_payment,Ndefault,Balance,Balance_Freq,N_purchases,LastPurchase,MaxPurchase,Inst_purchase,Advance,Count_Advance_Tx,Purchase_Freq,Installment_Freq,Advance_Freq,Pct_full_payment
1,33,Bangkok,5,300000,57728.13158,4721.03929,1,14092.56223,0.9,24,45696.5,17489.4,28207.1,23301.1078,0.7,0.6,0.4,5,0
2,80,Bangkok,7,280000,265570.9724,5860.29097,0,31083.93701,0.9,55,265823.4,151589,114234.4,0,0.9,0.8,0,0,0.875
3,43,Bangkok,7,250000,13891.67981,2628.26661,0,1775.92802,1,25,14715.5,14715.5,0,0,1,0,0,0,0.916667
4,25,Phuket,6,230000,12120.54219,687.25483,1,431.03899,0.454545,2,3700,3700,0,0,0.166667,0,0,0,0
5,22,Bangkok,6,225000,469305.9824,29740.69421,0,115475.2001,1,101,490395.7,407612.5,82783.2,3349.001316,1,0.916667,0.083333,1,0.25
6,24,Nakornratchasima,7,220000,42461.68346,42270.8158,0,184955.5855,1,76,52882.8,36573,16309.8,0,1,1,0,0,0
7,59,Rayong,7,215000,32196.21433,30681.25648,0,105984.6777,1,13,20844.8,13004.8,7840,0,0.666667,0.583333,0,0,0
8,45,Bangkok,6,215000,81301.12361,2247.63498,0,5887.95215,0.636364,12,41160,0,41160,0,0.5,0.5,0,0,1
9,78,Chaingmai,7,210000,197140.9728,14793.09409,1,41940.33835,0.727273,26,20068.7,4206,15862.7,0,0.666667,0.666667,0,0,0.1
10,36,Rayong,6,210000,56699.28467,24202.24884,0,96303.67575,1,29,52452.8,29312,23140.8,0,0.5,0.333333,0,0,0
11,43,Bangkok,7,205000,17903.94949,17274.87481,0,75338.54422,1,78,52530.6,30961,21569.6,0,0.916667,0.75,0,0,0
12,24,Bangkok,6,200000,117173.0794,60423.91629,1,136730.7961,1,216,97922.3,39598.1,58324.2,14666.67443,1,1,0.75,26,0
13,33,Chaingmai,7,200000,31042.75623,2889.03628,0,1197.60904,0.363636,4,18593.4,0,18593.4,0,0.333333,0.25,0,0,0.25
14,33,,6,200000,28142.31227,1862.30835,0,3367.99916,1,44,35358,16147,19211,0,1,0.916667,0,0,1
15,23,Bangkok,6,200000,8229.28249,2066.56437,0,800.62693,1,11,7272.7,7272.7,0,0,0.583333,0,0,0,0.916667
16,30,Phuket,6,200000,58728.95164,1160.63003,0,710.46063,0.181818,2,10238,10238,0,0,0.083333,0,0,0,0
17,44,Bangkok,6,200000,20681.87388,2432.35999,0,9751.65854,1,29,22815.6,22815.6,0,591.57939,0.916667,0,0.166667,2,0
18,46,Phuket,7,200000,39089.60912,1996.21137,0,3181.86198,1,51,35486.4,29493.7,5992.7,0,1,1,0,0,1
19,44,Bangkok,6,200000,36032.30966,2078.87409,0,4929.16599,1,97,43718.2,27651.6,16066.6,0,1,1,0,0,0.583333
20,50,Bangkok,7,200000,13027.9339,12459.48419,0,47663.60515,1,34,28940.4,25838.2,3102.2,8321.10699,1,0.416667,0.166667,2,0
21,29,Chaingmai,6,196000,390485.9762,53941.73671,0,109050.5381,1,21,4319.3,1335,2984.3,282823.2706,0.583333,0.5,1,123,0
22,58,Rayong,7,195000,96956.50901,7266.96049,0,27233.69217,0.909091,41,104104.9,11588.4,92516.5,0,0.75,0.583333,0,0,0.363636
23,26,Chaingmai,6,195000,11420.77891,1856.57751,0,999.55082,1,16,12229.7,2029.7,10200,0,1,1,0,0,1
24,59,Nakornratchasima,7,195000,195171.616,5173.24081,1,20724.57624,1,175,174092.1,112631.7,61460.4,0,1,1,0,0,0.333333
25,51,Chaingmai,6,195000,36105.65153,661.87935,0,185.49421,0.090909,4,1320,0,1320,0,0.333333,0.333333,0,0,0
26,32,Rayong,6,190000,30666.14272,34062.58999,0,142241.1541,1,0,0,0,0,27686.56442,0,0,0.333333,9,0
27,59,Bangkok,4,190000,20511.4647,39057.40148,0,152582.259,1,10,5293,5293,0,24605.34947,0.5,0,1,23,0
28,45,Phuket,6,190000,111234.0918,44675.20244,0,152447.4865,1,62,78237.4,75648.1,2589.3,15726.29684,1,1,0.083333,2,0
29,35,Rayong,6,190000,126679.0527,9683.63741,0,38790.64446,1,45,97962.8,95362.8,2600,11754.08096,1,0.583333,0.166667,2,0.333333
30,61,Rayong,6,185000,48680.88671,28618.90896,0,112789.5243,1,39,68555.9,27629.2,40926.7,0,0.916667,0.833333,0,0,0
31,68,Bangkok,6,185000,209413.2551,54337.59888,0,145814.5914,1,0,0,0,0,135994.671,0,0,0.833333,30,0
32,27,Chaingmai,7,185000,40231.11073,1697.63154,0,3576.2718,1,20,30704.5,18641.1,12063.4,0,0.916667,0.416667,0,0,1
33,37,Chaingmai,6,185000,6435.41055,1811.97901,0,840.67421,1,20,8522.6,2659.2,5863.4,0,1,0.25,0,0,0.916667
34,42,Phuket,6,185000,19641.95588,19784.14023,0,87715.07851,1,26,10829.8,4970.8,5859,27027.27161,1,0.833333,0.666667,26,0
35,33,Bangkok,6,185000,37466.74803,1678.23077,0,4071.77714,0.909091,29,42363.6,23251.6,19112,0,0.833333,0.75,0,0,1
36,68,Rayong,6,185000,34644.41992,33600.86085,0,139684.7957,1,9,2817.1,89,2728.1,16264.07858,0.416667,0.333333,0.666667,12,0
37,53,Bangkok,6,185000,24031.6006,22070.68883,0,99620.70262,1,57,74659.1,60756.2,13902.9,0,1,0.666667,0,0,0
38,60,Chaingmai,6,180000,230185.7583,186210.1331,1,190431.3856,1,216,220099.2,94490.7,125608.5,0,1,1,0,0,0
39,50,Rayong,6,180000,26623.65409,25391.98217,0,102497.1178,1,0,0,0,0,14630.14031,0,0,0.333333,9,0
40,37,Chaingmai,6,180000,11973.47043,1311.9619,0,616.44247,0.363636,3,4906,0,4906,0,0.272727,0.272727,0,0,1
41,35,Chaingmai,6,180000,13175.49381,4814.52747,0,1459.73232,0.818182,25,11310.8,0,11310.8,0,0.583333,0.5,0,0,0.25
43,35,Bangkok,7,180000,13993.23719,1084.10954,0,976.49883,0.454545,26,10925.9,6731.1,4194.8,0,1,1,0,0,0.090909
44,68,Nakornratchasima,6,180000,225582.8457,5051.25031,0,18936.11922,1,140,227468.1,157954.2,69513.9,0,1,1,0,0,1
45,38,Nakornratchasima,7,180000,339947.2785,7035.03256,0,40106.21974,1,358,400407.1,245435.2,154971.9,0,1,1,0,0,1
46,20,,6,180000,358436.2593,7160.27656,0,33917.0218,1,195,389027.1,338038.4,50988.7,0,1,1,0,0,1
47,58,Rayong,6,180000,135356.7697,3520.90849,0,13778.12538,1,55,143009.8,103946.7,39063.1,0,1,0.916667,0,0,1
48,48,Phuket,7,180000,77058.6499,1669.65184,0,3983.41908,0.272727,0,0,0,0,21741.50005,0,0,0.083333,2,0
49,30,Bangkok,6,180000,34477.33455,16081.11732,0,71563.45546,1,0,0,0,0,15036.50391,0,0,0.25,6,0
50,46,Chaingmai,6,180000,7469.51133,1568.12691,0,482.42289,0.727273,5,4706.9,570,4136.9,0,0.416667,0.333333,0,0,0.416667
51,27,Bangkok,7,180000,25888.93066,1900.34881,0,2209.38626,1,33,23106.1,13756.1,9350,0,1,0.5,0,0,1
52,54,Nakornratchasima,7,180000,95422.47486,25400.84696,1,123238.4536,1,2,9893.2,9893.2,0,0,0.090909,0,0,0,0
53,53,Rayong,6,180000,27356.24602,25957.65441,0,108710.8518,1,0,0,0,0,28935.35882,0,0,0.166667,3,0
54,37,Rayong,6,180000,45573.60839,28314.02596,1,100922.3573,1,83,87107.2,67997.9,19109.3,0,1,0.833333,0,0,0
55,27,Chaingmai,6,180000,10412.84778,1739.1503,0,948.3691,1,28,10278.4,930,9348.4,0,1,1,0,0,0.416667
56,57,Nakornratchasima,6,180000,222817.0046,15925.60164,0,69287.21377,1,5,183.5,0,183.5,89018.70846,0.416667,0.416667,0.083333,1,0.090909
57,30,Rayong,6,180000,60025.38777,17109.32637,0,69812.81961,1,0,0,0,0,34775.82693,0,0,0.166667,3,0
58,63,Bangkok,6,180000,507214.8336,11497.47342,1,12688.09031,0.272727,3,179450,179450,0,0,0.166667,0,0,0,0
59,61,,6,180000,406275.9524,21499.90102,0,82481.78009,1,12,17888.4,0,17888.4,540.187242,1,1,0.083333,1,0.166667
60,53,Rayong,6,180000,40021.94556,38439.24668,0,151555.3286,1,24,7172.4,7172.4,0,28309.64937,1,0,0.5,7,0
61,36,Bangkok,6,175000,17274.25472,17700.58766,1,71900.47748,1,19,15496.1,15496.1,0,19614.605,0.666667,0,0.75,11,0
62,54,Nakornratchasima,6,175000,241991.1108,30391.37305,1,137634.7358,1,88,96708.4,67010.8,29697.6,11377.2296,1,1,0.166667,2,0.083333
63,30,Bangkok,6,175000,58289.94002,2707.74147,0,7725.4691,1,117,85190.2,80032.1,5158.1,1422.399972,1,1,0.083333,1,0.833333
64,27,Bangkok,5,175000,1928.0601,952.28179,0,113.5774,0.555556,4,2235,1755,480,0,0.333333,0.111111,0,0,0
65,24,Phuket,6,175000,25430.33209,12374.05459,0,52578.07308,1,34,23316.8,10880.4,12436.4,61746.75444,0.75,0.666667,0.583333,10,0
67,26,Phuket,6,175000,24441.23547,26034.06476,0,92660.8054,1,4,1000,0,1000,26299.77761,0.333333,0.25,0.166667,3,0
68,46,Chaingmai,6,175000,16604.62764,2143.51604,0,2243.13303,1,16,24269.6,8595,15674.6,0,0.75,0.5,0,0,0
69,38,Phuket,6,175000,23539.36879,25809.4527,0,86950.84351,1,0,0,0,0,16635.55757,0,0,0.083333,2,0
70,50,Bangkok,6,170000,18887.56861,21674.46204,1,85048.76253,1,85,67242.6,41000.8,26241.8,10119.59866,1,1,0.5,10,0
71,62,Phuket,7,170000,26060.59389,28940.77159,0,111672.3403,1,1,1506.4,1506.4,0,50172.92552,0.083333,0,0.5,14,0
72,50,Chaingmai,6,170000,10153.11953,6159.2402,0,24948.68559,1,52,54917.9,13905,41012.9,0,1,1,0,0,0
73,52,,7,170000,360667.5068,159144.8462,0,134792.8821,1,157,410504,406240.6,4263.4,0,0.833333,0.416667,0,0,0.083333
74,28,Phuket,7,170000,55526.01399,10944.86286,1,44385.21324,1,11,5918.4,1091.6,4826.8,3386.192574,0.636364,0.454545,0.272727,3,0
