id,date,price,zipcode,lat,long,bedrooms,bathrooms,living_area,land_area,living_area17,land_area17,area_above,area_under,floors,waterfront,viewed,condition,grade,yr_built,yr_renovated
1002,20170422,300000,30002,37.3262,102.214,6,3,2400,9373,2060,7316,2400,0,2,0,0,3,7,1991,0
1114,20160508,647500,30166,37.4444,102.351,4,1.75,2060,26036,2590,21891,1160,900,1,0,0,4,8,1947,0
1116,20160811,400000,30166,37.4434,102.347,3,1,1460,43000,2250,20023,1460,0,1,0,0,3,7,1952,0
1704,20170401,235000,30168,37.4783,102.265,3,1,1430,7599,1290,10320,1010,420,1.5,0,0,4,6,1930,0
1954,20170319,402500,30144,37.5803,102.294,4,2,1650,3504,1480,3504,760,890,1,0,0,3,7,1951,2013
1969,20170330,680000,30144,37.5801,102.294,4,2.75,2220,5310,1540,4200,1170,1050,1,0,0,5,7,1951,0
1957,20170224,178000,30178,37.4938,102.262,5,1.5,1990,18200,1860,8658,1990,0,1,0,0,3,7,1960,0
2367,20160709,487000,30108,37.5423,102.302,4,2.5,2540,5001,2360,6834,2540,0,2,0,0,3,9,2005,0
2507,20161112,281000,30032,37.4023,102.273,3,1,1340,21336,1340,37703,1340,0,1.5,0,0,4,5,1945,0
2763,20161104,239000,30055,37.4836,102.214,4,2,1980,10585,1360,7810,1980,0,1.5,0,0,2,6,1924,0
2762,20161016,150000,30055,37.484,102.211,2,1,840,12750,1480,6969,840,0,1,0,0,3,6,1925,0
2762,20170424,175000,30055,37.484,102.211,2,1,840,12750,1480,6969,840,0,1,0,0,3,6,1925,0
2782,20160521,299800,30118,37.5303,102.288,2,1,790,5240,1430,5320,790,0,1,0,0,4,6,1925,0
2814,20160805,520000,30122,37.6029,102.302,3,2,1410,2700,1750,4000,1410,0,2,0,0,4,7,1902,0
2822,20160605,465000,30122,37.6018,102.297,3,2.25,1530,1245,1530,2307,1050,480,2,0,0,3,9,2014,0
2782,20161218,630000,30122,37.6025,102.313,5,1,3020,4800,1350,1307,3020,0,2,0,0,3,7,1901,0
2793,20160718,411000,30122,37.6023,102.314,2,2,1130,1148,1350,1201,800,330,2,0,0,3,9,2007,0
3025,20161203,496000,30115,37.68,102.304,2,1,1420,4635,1810,4635,1420,0,2,0,0,4,7,1941,1973
3417,20160721,570000,30007,37.6181,102.138,3,2.5,1530,3296,1530,4099,1530,0,2,0,0,3,8,1998,0
3437,20160609,546000,30007,37.6179,102.141,3,2.5,1530,3464,1530,3446,1530,0,2,0,0,3,8,1998,0
